,YEAR,NOM_MUN,TOT_HOG,HOG_REM,HOG_REM.1,HOG_CIRC,HOG_RET,IIM,GIM,LUGAR
0,2000,Estado,539528,3.159984283,1.586942661,0.318241129,0.869463679,-0.639286956,Bajo,
1,2000,Aconchi,578,2.249134948,4.325259516,0.173010381,0.519031142,-0.48918882,Bajo,
2,2000,Agua Prieta,14876,2.742672761,3.26700726,0.134444743,2.171282603,-0.246990537,Bajo,
3,2000,Alamos,5887,2.429081026,2.310174962,0.322745031,0.373704773,-0.579205297,Bajo,
4,2000,Altar,1690,3.668639053,0.532544379,0.0,0.650887574,-0.599682875,Muy bajo,
5,2000,Arivechi,381,7.086614173,4.98687664,2.362204724,0.262467192,-0.056966924,Bajo,
6,2000,Arizpe,953,2.938090241,2.938090241,0.209863589,0.0,-0.605420296,Muy bajo,
7,2000,Atil,185,14.59459459,8.648648649,1.621621622,0.0,0.281924268,Medio,
8,2000,Bacadéhuachi,347,4.322766571,1.44092219,0.288184438,0.576368876,-0.512056323,Bajo,
9,2000,Bacanora,267,19.85018727,20.97378277,16.85393258,2.621722846,3.220128541,Muy alto,
10,2000,Bacerac,331,8.157099698,3.927492447,0.0,1.208459215,-0.173996029,Bajo,
11,2000,Bacoachi,417,8.393285372,4.79616307,0.0,2.158273381,0.032010115,Medio,
12,2000,Bácum,5184,4.359567901,4.475308642,0.925925926,0.231481481,-0.35904713,Bajo,
13,2000,Banámichi,395,4.556962025,2.278481013,0.253164557,0.759493671,-0.438707888,Bajo,
14,2000,Baviácora,965,2.487046632,0.829015544,0.518134715,0.621761658,-0.579756267,Bajo,
15,2000,Bavispe,394,13.95939086,8.375634518,0.0,1.269035533,0.269437227,Medio,
16,2000,Benjamín Hill,1472,2.581521739,2.921195652,0.543478261,0.407608696,-0.514857544,Bajo,
17,2000,Caborca,16245,4.555247769,3.896583564,1.237303786,0.338565713,-0.32375996,Bajo,
18,2000,Cajeme,87586,3.348708698,2.119060124,0.597127395,0.86657685,-0.437568742,Bajo,
19,2000,Cananea,7862,4.261002289,2.493004325,0.0,0.852200458,-0.454566274,Bajo,
20,2000,Carbó,1105,1.266968326,2.262443439,0.36199095,0.542986425,-0.595673578,Muy bajo,
21,2000,"Colorada, La",649,1.232665639,1.232665639,0.462249615,0.0,-0.721815072,Muy bajo,
22,2000,Cucurpe,287,9.059233449,4.87804878,0.348432056,2.43902439,0.148905193,Medio,
23,2000,Cumpas,1661,5.719446117,4.33473811,0.30102348,0.782661048,-0.290383072,Bajo,
24,2000,Divisaderos,218,8.71559633,4.128440367,3.211009174,0.917431193,0.175873383,Medio,
25,2000,Empalme,12154,3.644890571,2.517689649,1.316439032,0.872140859,-0.324711964,Bajo,
26,2000,Etchojoa,12351,1.40879281,1.214476561,0.145737187,0.267184843,-0.707336934,Muy bajo,
27,2000,Fronteras,2024,3.112648221,1.581027668,1.037549407,0.790513834,-0.433528913,Bajo,
28,2000,Granados,288,2.777777778,5.208333333,1.041666667,0.0,-0.415224876,Bajo,
29,2000,Guaymas,31924,2.590527503,1.500438542,0.07204611,0.422879338,-0.629428103,Muy bajo,
30,2000,Hermosillo,149056,2.412516101,0.652774796,0.185836196,0.410583942,-0.663629912,Muy bajo,
31,2000,Huachinera,306,3.921568627,0.0,0.0,1.307189542,-0.504458602,Bajo,
32,2000,Huásabas,267,7.490636704,0.0,0.0,1.123595506,-0.390897676,Bajo,
33,2000,Huatabampo,17590,1.415577032,0.17055145,0.306992609,0.272882319,-0.734469361,Muy bajo,
34,2000,Huépac,320,1.875,0.0,0.0,0.3125,-0.752048862,Muy bajo,
35,2000,Imuris,2211,4.251469923,2.080506558,0.090456807,0.904568069,-0.454413706,Bajo,
36,2000,Magdalena,5904,3.692411924,1.710704607,0.0,0.762195122,-0.527483538,Bajo,
37,2000,Mazatán,428,1.401869159,0.0,0.0,0.0,-0.822980746,Muy bajo,
38,2000,Moctezuma,1056,8.428030303,0.852272727,0.0,1.136363636,-0.312777047,Bajo,
39,2000,Naco,1244,5.948553055,1.607717042,0.0,1.205787781,-0.367471,Bajo,
40,2000,Nácori Chico,581,2.753872633,1.032702238,0.0,0.860585198,-0.579404068,Bajo,
41,2000,Nacozari De García,3326,2.28502706,2.194828623,0.180396873,1.14251353,-0.478900278,Bajo,
42,2000,Navojoa,33715,3.037223788,0.086015127,0.0,0.522022838,-0.666540826,Muy bajo,
43,2000,Nogales,38676,3.125969594,2.593339539,0.279242941,1.396214707,-0.373744008,Bajo,
44,2000,Onavas,130,3.076923077,3.076923077,0.0,0.769230769,-0.489952918,Bajo,
45,2000,Opodepe,739,5.277401894,3.51826793,0.270635995,1.082543978,-0.298515869,Bajo,
46,2000,Oquitoa,116,1.724137931,0.862068966,0.0,0.0,-0.771360589,Muy bajo,
47,2000,Pitiquito,2282,1.139351446,0.569675723,0.0,0.394390885,-0.7426301,Muy bajo,
48,2000,Puerto Peñasco,7232,4.23119469,1.078539823,0.0,0.940265487,-0.50452056,Bajo,
49,2000,Quiriego,904,0.774336283,0.0,0.0,0.0,-0.848302627,Muy bajo,
50,2000,Rayón,475,5.473684211,0.210526316,0.0,0.210526316,-0.614322485,Muy bajo,
51,2000,Rosario,1334,2.698650675,0.149925037,0.0,0.0,-0.763937842,Muy bajo,
52,2000,Sahuaripa,1734,11.24567474,1.038062284,0.230680507,1.384083045,-0.123327111,Bajo,
53,2000,San Felipe De Jesús,120,0.0,0.0,0.0,1.666666667,-0.603066355,Muy bajo,
54,2000,San Javier,88,0.0,0.0,0.0,0.0,0.0,Nulo,
55,2000,San Luis Río Colorado,36490,5.28637983,2.241710058,0.128802412,3.302274596,-0.003301009,Medio,
56,2000,San Miguel De Horcasitas,1231,1.462225833,0.0,0.0,0.487408611,-0.739689473,Muy bajo,
57,2000,San Pedro De La Cueva,546,9.157509158,0.0,0.0,0.366300366,-0.449263938,Bajo,
58,2000,Santa Ana,3477,3.940178315,3.940178315,0.46016681,0.402645959,-0.424723874,Bajo,
59,2000,Santa Cruz,437,2.974828375,0.228832952,0.228832952,1.830663616,-0.419445284,Bajo,
60,2000,Sáric,591,3.891708968,3.045685279,0.169204738,2.030456853,-0.229932092,Bajo,
61,2000,Soyopa,452,2.654867257,1.548672566,0.884955752,1.10619469,-0.418504427,Bajo,
62,2000,Suaqui Grande,285,2.456140351,0.701754386,0.0,0.350877193,-0.69079774,Muy bajo,
63,2000,Tepache,414,8.937198068,7.004830918,7.246376812,1.690821256,0.902689072,Alto,
