,Incident_Date,Year,Reported_Month,Number_Dead,Total_Number_of_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_of_Death
0,2014-01-06 12:00:00,2014,January,1,1,,,1.0,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
1,2014-01-12 12:00:00,2014,January,1,1,,,,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
2,2014-01-14 12:00:00,2014,January,1,1,,,,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
3,2014-01-16 12:00:00,2014,January,1,1,,,1.0,,Violence,"near Douglas, Arizona, USA"
4,2014-01-17 12:00:00,2014,January,1,1,,,,,Violence,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
5,2014-01-22 12:00:00,2014,January,1,1,,,,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
6,2014-01-24 12:00:00,2014,January,1,1,,,,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
7,2014-01-24 12:00:00,2014,January,1,1,,,,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
8,2014-01-25 12:00:00,2014,January,1,1,,,1.0,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
9,2014-01-28 12:00:00,2014,January,1,1,,,,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
10,2014-01-29 12:00:00,2014,January,1,1,,,,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
11,2014-01-29 12:00:00,2014,January,1,1,,,,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
12,2014-02-11 12:00:00,2014,February,1,1,,,,,Mixed or unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)"
